t,T1,T2,T3,T4,T5,T6,T7,T8,T9
0.0,20.0,10.0,10.0,20.0,23.0,20.0,0.0,30.0,50.0
0.02,20.65258848410314,10.677037708769614,9.943575642277251,19.961585870730843,23.000133796101697,20.184131255460755,-1.740125360232847,26.721429014223133,48.630837078776715
0.04,21.30201736805274,11.39873465505904,9.93501750270549,19.92318207350465,22.999985999940087,20.38436224868868,-3.36010781661311,23.42650969550137,47.14034637366079
0.06,21.945172797891082,12.161653195972882,9.974385657433826,19.884967732527908,22.99953737470201,20.599740047393297,-4.852169181530982,20.13103986224206,45.53566985598755
0.08,22.578969516553435,12.962156710432515,10.061510733986138,19.84712115851368,22.99877010992907,20.829239029161347,-6.209144025212344,16.850821064157,43.82449733781593
0.1,23.200365642424906,13.796426965893367,10.195994670301586,19.80981899476933,22.997667906751705,21.071765810567598,-7.424513919633682,13.601582827721604,42.015029522581706
0.12,23.806377252056176,14.660482289224566,10.377212490616156,19.773235370870854,22.996216056345208,21.326164475142686,-8.492438781727284,10.398907262684311,40.11593880171159
0.14,24.39409269206819,15.550196567434003,10.604315207294263,19.73754106784545,22.994401510554983,21.591222115157855,-9.407784873581909,7.258154344376973,38.136327683352974
0.16,24.960686557601747,16.46131890175577,10.87623374324646,19.70290269885257,22.992212944894412,21.865674629918594,-10.16614955905498,4.19438825871989,36.08568528387035
0.18,25.503433254793904,17.389493924267075,11.191683976059196,19.669481909748754,22.989640812862273,22.148212790287964,-10.763882375757532,1.222305167735088,33.97384180778437
0.2,26.019720099766797,18.330282598591772,11.549172779652022,19.637434602723353,22.986677391977466,22.437488510268917,-11.198102603517517,-1.6438372834455413,31.810921461251336
0.22,26.507059881739927,19.279183435519098,11.947005075510527,19.606910187130314,22.983316821029906,22.73212130696754,-11.46671312557831,-4.390288356476205,29.607293938952864
0.24,26.96310282159585,20.23165400237286,12.383291849773476,19.57805086162935,22.979555128375907,23.030704911653874,-11.56841052089465,-7.003870129368241,27.373524764580875
0.26,27.38564789923471,21.183132670920156,12.855959111095222,19.550990929263065,22.97539025125621,23.33181401459041,-11.502691383075184,-9.47204077504989,25.120324615316342
0.28,27.772653451009674,22.129060433940403,13.362757730696142,19.52585615136709,22.970822045866548,23.63401109156286,-11.269854767234012,-11.782954669826095,22.85849802154832
0.3,28.122247024144336,23.064902740336066,13.901274129456207,19.502763141195143,22.965852288296304,23.935853295542096,-10.871000817335563,-13.925519244933781,20.59889156678472
0.32,28.43273441874346,23.986171214680517,14.468941756295868,19.481818801457234,22.96048466622598,24.235899371741365,-10.308025539461926,-15.889448194244649,18.352341901517516
0.34,28.702607883156784,24.8884451687157,15.063053304217217,19.46311980793766,22.95472476147379,24.532716566262494,-9.583611766522909,-17.665310832355452,16.129623795414044
0.36,28.930553413132785,25.76739277979202,15.680773595187206,19.4467521422968,22.94858002347356,24.824887488289853,-8.701216359033719,-19.244577310056478,13.941398529057064
0.38,29.11545715687826,26.618791936117294,16.319153131373145,19.432790673943977,22.942059733710337,25.111016925630132,-7.665053653028766,-20.6196596965159,11.798162626775111
0.4,29.25641082125345,27.43855044572664,16.97514212872387,19.421298797683296,22.935174961499918,25.389738515372997,-6.480075341483546,-21.78394828612328,9.710197669629355
0.42,29.35271609931436,28.22272566635355,17.64560506711145,19.412328125844194,22.927938511044925,25.65972128816839,-5.151946756339605,-22.73184325297143,7.687521049377644
0.44,29.40388815378888,28.967543524554518,18.32733568710265,19.40591823315989,22.920364860360717,25.91967607246868,-3.6870198012879682,-23.45878178690961,5.739837766158641
0.46,29.409657994334612,29.66941658422138,19.01707227678491,19.402096464299788,22.912470091961573,26.168361651920584,-2.0923025179777257,-23.961259793366015,3.876494073596951
0.48,29.36997390764244,30.32496139699016,19.711513302142556,19.400877794703042,22.904271815966588,26.404590745389307,-0.37542554146820706,-24.236848996303642,2.10643244862663
0.5,29.2850017765571,30.93101473251761,20.407333164570424,19.40226475493344,22.895789085835204,26.627235681159625,1.4553944340741463,-24.284208482196522,0.43814885262644965
