x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-74.44801859905249,-20.041747208086232,20266362530.4514,-56261127019.98044,11268324314.810448,107149363597.26283,145957653426.0553,-26733983815.972504,-147958889333.98682,170460823851.55997,-732055834372.7554,-238922568148.16968,-1358947513861.1516,-381494595268.1454,-1079201762720.2144,-2627091765640.807,-3129611083911.733,3293909413271.1045
-25910.395234194548,-6888.575382088874,36527367305.273125,-50472238097.2238,-1274988081.9368477,108460405673.78188,147884267261.7125,-16183865979.445654,-154517328314.49933,164764451519.96902,-730596866076.4424,-243392070276.81528,-1358009414219.549,-384835801628.5042,-1076934045234.2611,-2628023320382.799,-3131028233294.202,3292562961780.19
-77671.53708471297,-20474.53073523989,50681554767.08369,-40647762537.616806,-13886397608.970097,108310656952.29337,149044004115.90448,-5521802829.39407,-160850884921.04465,158818843013.92804,-729110493189.9939,-247852533984.83878,-1357063005897.495,-388174666668.4874,-1074665521878.3726,-2628952907895.6294,-3132444810729.5312,3291215908222.1987
-155584.23606151552,-40668.002688778186,61959262803.43917,-27771157003.138115,-26397514861.42109,106721502324.82877,149434732872.04666,5196413564.554237,-166950483737.7042,152633176013.10504,-727596772413.0669,-252303792364.8072,-1356108294718.4365,-391511170155.55066,-1072396194348.384,-2629880527475.8516,-3133860815960.251,3289868252845.026
-259929.9702458117,-67398.69707520836,69960085124.41043,-12869350071.759157,-38646867739.31247,103732985383.88658,149058312422.02518,15915405825.760288,-172807424125.7215,146216946592.18045,-726055761446.3081,-256745678863.0533,-1355145286557.0352,-394845291871.50287,-1070126064340.6984,-2630806178421.424,-3135276248728.995,3288519995896.674
-391031.9803560611,-100651.71224455847,74603150341.03224,3095245403.291479,-50481912305.83272,99402612169.01198,147920532490.2736,26580489815.764107,-178413391328.76505,139579954611.76324,-724487518989.214,-261178027285.55493,-1354173987339.1265,-398177011612.57996,-1067855133552.2847,-2631729860031.711,-3136691108778.501,3287171137625.2524
-549237.5491091922,-140477.26390109406,76049334921.35268,19300084004.973045,-61760903981.95251,93803893406.37943,146031034133.09543,37137950492.20806,-183760467076.32635,132732288676.72818,-722892104737.9591,-265600671803.80338,-1353194403041.6775,-401506309189.5189,-1065583403680.6769,-2632651571607.485,-3138105395851.6084,3285821678278.979
-734899.2846011916,-186993.12532496918,74614942908.03192,35097637814.14143,-72354573148.28053,87024637977.00432,143403209426.14886,47535313155.682526,-188841139663.17242,125684310674.87189,-721269579383.1927,-270013446960.66187,-1352206539692.7427,-404833164427.6319,-1063310876423.9723,-2633571312450.925,-3139519109691.2607,3284471618106.1777
-948358.5285230599,-240380.81819328715,70694909043.61842,50016209170.586624,-82147552122.21483,79165026118.8599,140054080112.21063,57721608004.31471,-193648313482.62592,118446639910.78003,-719620004607.8044,-274416187676.21457,-1351210403371.419,-408157557166.88055,-1061037553480.8297,-2634489081865.6187,-3140932250040.5054,3283120957355.281
-1189932.602669703,-300877.7455455983,64705189985.698555,63739039428.016304,-91039507803.56561,70335505246.98407,136004155266.48036,67647625805.63994,-198175317991.10754,111030136851.8679,-717943443084.6586,-278808729253.60657,-1350206000207.7998,-411479467261.9508,-1058763436550.4683,-2635404879156.565,-3142344816642.4927,3281769696274.8267
-1459906.1991902054,-368767.45415104745,57045669155.02186,76074148277.5724,-98945945472.41098,60654563006.50939,131277268350.64836,77266162440.37164,-202415916080.72766,103445886505.49553,-716239958474.3008,-283190907384.8749,-1349193336382.9287,-414798874582.3277,-1056488527332.6658,-2636318703630.1724,-3143756809240.4766,3280417835113.462
-1758526.3757381146,-444369.60971507337,48080006962.62967,86923574248.13538,-105798663312.21864,50246440217.93466,125900394364.22302,86532250066.34866,-206364311835.8399,95705181447.55392,-714509615422.6364,-287562558156.7701,-1348172418128.7502,-418115759012.3705,-1054212827527.7574,-2637230554594.2607,-3145168227577.815,3279065374119.9395
-2086000.331886233,-528030.5927672901,38127375770.01681,96256553527.43988,-111545852949.10748,39238850058.79943,119903448141.41307,95403372690.13611,-210015157648.804,87819504523.72804,-712752479558.582,-291923518056.56793,-1347143251728.0618,-421430100451.388,-1051936338836.634,-2638140431358.0625,-3146579071397.9688,3277712313543.119
-2442495.1872270643,-620115.1247054652,27461514978.068443,104088177404.58986,-116151857226.1669,27760768937.071762,113319065167.63536,103839664026.65694,-213363560670.46884,79800511244.88206,-710968617491.6923,-296273623977.86945,-1346105843514.4636,-424741878813.71405,-1049659062960.7406,-2639048333232.2236,-3147989340444.503,3276358653631.9673
-2828139.144635702,-720999.0438946552,16313738906.001207,110463394880.83603,-119596611183.78484,15940359315.468422,106182366597.5303,111804085679.17873,-216405088572.64545,71660011898.33084,-709158096809.7593,-300612713226.38837,-1345060199872.308,-428051074028.7826,-1047381001602.0748,-2639954259528.8047,-3149399034461.086,3275004394635.557
-3243023.5881410423,-831063.2131220958,4877710425.095715,115445517142.4161,-121874804610.45703,3903075936.554695,98530710442.28122,119262583878.63965,-219135774602.90906,63409953398.02028,-707320986076.3877,-304940623525.72363,-1344006327236.6472,-431357666041.2032,-1045102156463.1857,-2640858209561.2817,-3150808153191.49,3273649536803.0684
-3687205.7926033097,-950688.4858403548,-6685304013.488123,119108219965.72739,-122994813716.48769,-8230004517.556793,90403431148.98239,126184223275.14333,-221552121915.43997,55062400899.23297,-705457354828.5419,-309257193023.11566,-1342944232093.1792,-434661634810.8362,-1042822529247.172,-2641760182644.5474,-3152216696379.593,3272294080383.7866
-4160712.009398178,-1080251.6432065272,-18241378910.559902,121530132154.49269,-122977455025.00087,-20343603152.126335,81841570009.0058,132541296568.33638,-223651107164.11978,46629519206.87725,-703567273574.0651,-313562260295.1842,-1341873920978.194,-437962960312.8676,-1040542121657.6808,-2642660178094.9116,-3153624663769.3735,3270938025627.1045
