x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-12847.810621993733,-3458.6893984545413,20128156114.134815,-53670752581.199265,11104596807.370987,106424379426.15454,145581547909.00006,-26636553238.07198,-147854196139.7772,170330362426.0273,-732042169992.3607,-238918200123.62793,-1358943379287.6482,-381493446519.5168,-1079201360853.6327,-2627090788252.6245,-3129610799787.7036,3293909113796.8228
-51432.915171880035,-13773.204731860029,36151264982.16853,-45102171602.6907,-1603413555.1101751,107000246059.45349,147130061666.232,-15988548498.647255,-154307802876.60007,164503318564.06622,-730569536644.2736,-243383334544.19348,-1358001145031.2725,-384833504182.91705,-1076933241495.8811,-2628021365607.746,-3131027665046.837,3292562362830.853
-115862.9669409527,-30799.490584207113,49657308651.69014,-32095420972.865788,-14377833148.401588,106085179431.34401,147905644329.07556,-5227996960.6136465,-160536033199.95355,158426478112.34744,-729069497011.9984,-247839430513.0018,-1357050602003.8376,-388171220563.35767,-1074664316262.3662,-2628949975733.5513,-3132443958359.418,3291215009796.9253
-206315.08981444966,-54360.7072070238,59504786269.0933,-15760650996.161121,-27040774111.479668,103682647466.40332,147902157749.42172,5588572551.150721,-166529418364.40408,152108711414.85745,-727542106779.02,-252286320756.36856,-1356091755979.557,-391506575413.6608,-1072394586848.3152,-2629876617925.122,-3133859679467.8716,3289867054942.823
-323068.41209220904,-84282.29164638452,65112359664.76268,2481513772.6174355,-39415297002.65727,99818627139.27403,147117654833.9451,16404187203.16552,-172278830078.2972,145559253420.02072,-725987422636.5771,-256723838335.81494,-1355124612783.9663,-394839548500.6233,-1070124054949.5271,-2630801291478.9453,-3135274828114.726,3288518498516.4404
-466506.532549025,-120447.67436786917,66521781284.72129,21225249314.972374,-51328755866.531364,94541955360.91266,145554464520.39767,27161755119.387928,-177775495885.89236,138787691974.60278,-724405502281.7843,-261151816654.0453,-1354149178293.883,-398170119605.09143,-1067852722262.3707,-2631723995692.914,-3136689404042.611,3287169340765.777
-637083.4009460778,-162844.76305662596,64244193395.25324,39358563786.05571,-62616392878.84857,87924014987.6231,143219248304.48868,37804410406.17595,-183011014283.5385,131803955331.65475,-722796404415.7201,-265570089460.91663,-1353165458437.368,-401498268522.03516,-1065580590483.7836,-2632644729866.324,-3138103406994.2607,3285819581938.9404
-835272.6731954708,-211582.13611737746,59008344254.54205,56170519958.46533,-73125005610.84302,80057655447.53192,140123024034.9084,48275875175.8805,-187977369520.83304,124618298865.61897,-721160188741.4822,-269978490859.40158,-1352173459193.6804,-404823975060.62335,-1063307661311.2695,-2633563493299.881,-3139516836712.513,3284469222284.1475
-1061524.5596428048,-266877.9642722143,51552611214.83631,71305595431.2179,-82716473304.48578,71055303705.76523,136281153107.4946,58520834677.35997,-192666946035.303,117241290991.86694,-719496915962.2084,-274376855311.54654,-1351173186593.2368,-408147219044.29895,-1061033936442.8982,-2634480285295.6953,-3140929692940.307,3283118262049.72
-1316239.698474072,-329036.6866553595,42515027002.09518,84655583255.41711,-91270912525.16634,61046291721.42614,131713287700.0285,68485320838.30832,-197072542466.34796,109683798292.16565,-717806647779.0671,-278765017644.42523,-1350164646717.5679,-411467980310.8543,-1058759417577.3036,-2635395105157.287,-3142341975420.687,3281766701484.0884
